id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category","summary","curated","pL_apt","gene_study","disease_study","drug_study"
3531,"GSE60114","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60114","Linking the aryl hydrocarbon receptor with altered DNA methylation patterns and developmentally induced aberrant antiviral T cell responses [RNA-Seq]","Mus musculus","3/16/15","8","RNA-Seq","  Successfully fighting infection requires a properly tuned immune system. Recent epidemiological studies link exposure to pollutants that bind the aryl hydrocarbon receptor (AHR) during development with poorer immune responses later in life. Yet how developmental triggering of AHR durably alters immune cell function remains unknown. Using a mouse model we show that developmental activation of AHR leads to long-lasting reduction in the response of CD8+ T cells during influenza virus infection cells critical for resolving primary infection. Combining genome-wide approaches we demonstrate that developmental activation alters DNA methylation and gene expression patterns in isolated CD8+ T cells prior to and during infection. Altered transcriptional profiles in CD8+ T cells from developmentally exposed mice reflect changes in pathways involved in proliferation and immunoregulation with an overall pattern that bears hallmarks of T cell exhaustion. Developmental exposure also changed DNA methylation across the genome but differences were most pronounced following infection where we observed inverse correlation between promoter methylation and gene expression. This points to altered regulation of DNA methylation as one mechanism by which AHR causes durable changes in T cell function. Discovering that distinct gene sets and pathways were differentially changed in developmentally exposed mice prior to and after infection further reveals that the process of CD8+ T cell activation is rendered fundamentally different by early life AHR signaling. These findings reveal a novel role for AHR in the developing immune system: regulating DNA methylation and gene expression as immune cells respond to viral infection later in life.																																																																																																",NULL,NULL,NULL,NULL,NULL
3568,"GSE62684","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62684","Nuclear Lamins are Not Required for Genome Organization in Mouse Embryonic Stem Cells [RNA-Seq]","Mus musculus","3/10/15","4","RNA-Seq","  In mammals the nuclear lamina interacts with hundreds of large genomic regions termed lamina-associated domains (LADs) that are generally in a transcriptionally repressed state. Lamins form the major structural component of the lamina and have been reported to bind DNA and chromatin. Here we systematically evaluated whether lamins are necessary for the peripheral localization of LADs in murine embryonic stem cells. Surprisingly removal of essentially all lamins did not have any detectable effect on the genome-wide interaction pattern of chromatin with the inner nuclear membrane. This suggests that other components of the inner nuclear membrane mediate these interactions.																																																																																																				",NULL,NULL,NULL,NULL,NULL
3603,"GSE65686","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65686","Genome-wide mRNA expression profiling for Wild Type and Itch-/- Skin Transcriptomes by RNA sequencing","Mus musculus","3/4/15","4","RNA-Seq","  To test the hypothesis that defects in the termination of inflammatory signaling led to skin inflammation that results in the \\x89\\xdb\\xcfItchy\\x89\\xdb\\x9d phenotype we isolated RNA from the lesional skin of Itch-/- mice and from the skin of wild-type mice and performed genome-wide mRNA expression profiling by RNA sequencing. We ranked genes based on the fold change in their expression (increased or decreased) in Itch-/- skin relative to that in wild-type skin. The expression of several TNF\\x89\\xdb\\xd2induced genes were increased in Itch-/- skin including IL-1\\xeb_ IL-6 IL-11 IL-19 IL-1RL1 CCL4 CXCL3 CXCL2 CCL3 and CD14.																																																																																											",NULL,NULL,NULL,NULL,NULL
3610,"GSE61351","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61351","RNA-seq Analysis of Mineralizing IDG-SW3 Cultures with Mature Osteocyte Characteristics","Mus musculus","3/3/15","6","RNA-Seq","  We differentiated the murine IDG-SW3 cell line for 28 days until the cells displayed a mature osteocyte-like phenotype. Triplicate cultures of the IDG-SW3 cells were then treated with 50nM PTH (1-34) or vehicle control (PBS) for 24 hours. RNA was harvested from the cultures and used to perform RNA Seq analysis. We found that many genes previously shown to be markers of the osteocyte phenotype were strongly downregulated in response to PTH treatment. Furthermore we found that genes known to inhibit cell motility were downregulated in response to PTH whereas genes promoting motility were upregulated. This corresponds to the increased cell motility observed in PTH-treated IDG-SW3 cell cultures. Therefore PTH induces a switch in mature IDG-SW3 cells from a osteocyte-like cell to a more motile phenotype.																																																																																																				",NULL,NULL,NULL,NULL,NULL
3630,"GSE60231","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60231","RNA-Seq analysis to profile the transcriptome of Bone Marrow Dendritic Cells exposed to different antigen delivery systems","Mus musculus","3/1/15","8","RNA-Seq","  Here we report the analysis of the transcriptome of bone marrow-derived dendritic cells exposed to the different antigen delivery systems to dissect the molecular mechanisms that orchestrate the immune response upon vaccination. RNA-Sequencing revealed that exposure of dendritic cells to diffent antigen display vehicules causes the deregulation of molecules involved in the immune response at a different extent depending on the carrier. In vaccinology patterns of gene expression induced by priming antigen presenting cells (APCs) could be used to predict immunogenicity and the type of T-helper cell polarization and/or to helpin selecting an appropriate adjuvant to administer in the vaccine formulation.																																																																																																		",NULL,NULL,NULL,NULL,NULL
3633,"GSE65633","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65633","RNA-seq analysis of neonatal mouse cochlear hair cells","Mus musculus","3/1/15","4","RNA-Seq","  This study examined transcripts that are enriched in neonatal mouse cochlear hair cells. Hair cells were purified by FACS sorting for GFP fluorescence from the cochleas of transgenic mice in which the endogenous Atoh1 gene was fused with GFP																																																																																																							",NULL,NULL,NULL,NULL,NULL
3640,"GSE45446","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45446","Brg1 Modulates Enhancer Activation and Polycomb-mediated Repression in Mesoderm Differentiation [RNA-Seq]","Mus musculus","3/1/15","6","RNA-Seq","  We investigated the global gene expression changes in normal and Brg1-deleted mesoderm differentiation of mouse embryonic stem cells.																																																																																																							",NULL,NULL,NULL,NULL,NULL
3648,"GSE64867","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64867","RNA-seq in squamous cell carcinoma stem cells in the presence or absence of TGF-beta signaling","Mus musculus","2/27/15","4","RNA-Seq","  We performed RNA-seq on purified squamous cell carcinoma stem cells (SCC-SCs) from primary mouse skin tumors transduced with TGF-beta reporter.																																																																																																							",NULL,NULL,NULL,NULL,NULL
3665,"GSE63968","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63968","A survey of imprinted gene expression in mouse trophoblast stem cells","Mus musculus","2/24/15","4","RNA-Seq","  Several hundred mammalian genes are expressed preferentially from one parental allele due to a process called genomic imprinting. Genomic imprinting is particularly prevalent in extra-embryonic tissue where it plays an essential role during development. Here we profiled imprinted gene expression via RNA-Seq in a panel of six mouse trophoblast stem (TSC) lines which are ex vivo derivatives of a progenitor population that gives rise to the placental tissue of the mouse. We found evidence of imprinted expression for 48 genes 31 of which had previously been described as imprinted and 17 of which we suggest as candidate imprinted genes. An equal number of maternally and paternally biased genes were detected. Several genes showed variability in imprinted expression between the six TSC lines. Sixteen of the 48 known and candidate imprinted genes were previously or newly annotated noncoding RNAs and six encoded for a total of 60 annotated microRNAs. Pyrosequencing across a panel of six TSC lines returned levels of imprinted expression that were concordant with RNA-Seq measurements for eight genes examined in all six independently derived TSC lines. Our results solidify TSCs as a cell culture-based experimental model to study genomic imprinting and provide a quantitative foundation upon which to delineate mechanisms by which the process is maintained in the mouse.																																																																																																	",NULL,NULL,NULL,NULL,NULL
3667,"GSE63748","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63748","Role of Tet1 and 5-hydroxymethylcytosine in cocaine action (RNA-Seq)","Mus musculus","2/23/15","6","RNA-Seq","  Here we show that Tet1 is down-regulated in mouse nucleus accumbens (NAc) a key brain reward structure by repeated cocaine administration which enhances behavioral responses to cocaine. Through genome-wide 5hmC profiling we identified 5hmC changes selectively clustered in both enhancer and coding regions of genes with several annotated neural functions. By coupling with mRNA sequencing we found cocaine-induced alterations in 5hmC correlate positively with alternative splicing. We also demonstrated that 5hmC alteration at certain genes lasts up to a month after cocaine exposure.																																																																																																			",NULL,NULL,NULL,NULL,NULL
3680,"GSE55280","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55280","mRNA sequencing of two brain regions (prefrontal cortex and hippocampus) and left myocardial tissue in mice with chronic heart failure vs. sham-operated control mice","Mus musculus","2/20/15","6","RNA-Seq","  After induction of ischemic chronic heart failure (CHF) mice exhibited depression-like behavior in terms of increased anhedonia and decreased both exploratory activity and interest in novelty. On histology ischemic CHF mice showed no alterations in overall cerebral morphology. To further evaluate relevant behavioral changes found in CHF mice RNA-sequencing analysis of prefrontal cortex and hippocampus - the brain regions whose structural and functional alterations are associated with an increased risk for developing major depressive disorder - and of left myocardial tissue was performed in CHF vs. sham-operated animals. RNA-sequencing revealed relevant changes in hippocampal or prefrontal cortical expression of genes responsible for axonal vesicle transport (Kif5b) signal transduction (Arc Gabrb2) limitation of inflammation (RORA; Nr4a1) and of hypoxic brain damage (Hif3a). Besides the actual literature describes some of the genes (RORA Gabrb2 Npas4 and Junb) being associated with depression-like behavior. Nr4a1 significantly regulated in both brain and heart tissue after induction of ischemic CHF could be a potential link and reveals the central role of inflammation in the interrelation of the brain and the failing heart.																																																																																										",NULL,NULL,NULL,NULL,NULL
3695,"GSE62512","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62512","c-Myc Transcriptionally Amplifies Sox2 Target Genes to Regulate Self-Renewal in Multipotent Otic Progenitor Cells [RNA-Seq]","Mus musculus","2/18/15","7","RNA-Seq","  An immortalized multipotent otic progenitor (iMOP) cell was generated by transient expression of c-Myc in Sox2-expressing otic progenitor cells. The procedure activated endogenous c-Myc expression in the cells and amplified existing Sox2-dependent transcripts to promote self-renewal. Downregulation of c-Myc expression following growth factor withdrawal resulted in a molecular switch from self-renewal to otic differentiation.																																																																																																							",NULL,NULL,NULL,NULL,NULL
3711,"GSE64408","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64408","Direct regulation of T cell exhaustion by NFAT [RNA-Seq]","Mus musculus","2/13/15","8","RNA-Seq","  During persistent antigen stimulation CD8+ cytolytic T cells (CTL) show a gradual decrease in effector function or \\x89\\xdb\\xcfexhaustion\\x89\\xdb\\x9d which impairs the immune response to tumors and infections. Here we show that NFAT a transcription factor with an established role in T cell activation in parallel controls a second transcriptional program conferring the characteristic features of CD8+ T cell exhaustion including upregulation of genes encoding inhibitory cell surface receptors and diminished TCR signaling. Expression of an engineered NFAT1 which induces this negative regulatory program in the absence of the effector program interferes with the ability of CD8+ T cells to protect against Listeria infection or attenuate tumor growth in vivo. NFAT elicits this second program of gene expression in large part by binding to a subset of the sites occupied by NFAT during a typical effector response suggesting that a balance between the two pathways determines the outcome of TCR signaling.																																																																																														",NULL,NULL,NULL,NULL,NULL
3732,"GSE62902","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62902","RNA-Seq Versus Oligonucleotide Array Assessment of Dose-Dependent TCDD-elicited Hepatic Gene Expression in Mice [RNA-Seq]","Mus musculus","2/10/15","45","RNA-Seq","  Dose-dependent hepatic gene expression was examined following repeated exposure (every 4 days for 28 days) to 2	3	7	8-tetrachlorodibenzo-p-dioxin (TCDD). These data were used to examine the effect of repeated TCDD exposure as well as compare the performance of RNA-Seq and Agilent oligonucleotide microarrays for detection and identificatioin of differentially expressed genes.																																																																																																				",NULL,NULL,NULL,NULL,NULL
3760,"GSE60262","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60262","Quantitative Analysis of Wild Type and Dicer1-ifKO Hippocampal Transcriptomes (mRNA and small RNA) Through Next Generation Sequencing (smallRNA-Seq).","Mus musculus","2/4/15","6","RNA-Seq","  Methods: CaMKIIa-creERT2 (Erdmann et al. 2007) and Dicer1f/f (Harfe et al. 2005) were crossed to produce inducible forebrain-restricted Dicer1 knockout mice (Dicer-ifKO) mice. Hippocampal small RNA profiles of 3-month-old wild-type (WT) and (Dicer-ifKO) mice were generated by deep sequencing in triplicate using Illumina HiSeq 2500. Each sample included total RNA isolated from the hippocampus of 3 mice. In total 12 mice per genotype were used. After trimming of the adapter sequences and masking for low-complexity or low-quality sequence the inserts were sorted in separated files according to their lengths. The reads in which no match of the adapter sequences is found were discarded. Inserts of length 18-50 were pooled together and mapped to reference genome (GRCm38/mm10) using Burrows-Wheeler Alignment Tool (BWA) v.0.5.9. We used BWA to map the inserts with a maximum of 2 mismatches. Inserts mapping to several positions on the reference sequences with the same mapping quality were attributed at random to one of the position with a mapping quality of 0. Files were further processed using Samtools v.0.1.18 to get binary files (BAM). Read count quantitations were obtained using Seqmonk (0.26.0). We counted reads that mapped to annotated features (miRNAs 2035; miscRNA 491; mRNA 76938; rRNA 341; snoRNA 1602; snRNA 1431; tRNAs 26248; tRNA 22). The DESeq2 R package from Bioconductor was used to normalize the counts and perform the differential expression analysis. Results: We mapped about 17-22 million sequence reads per sample to the mouse genome (build GRCm38/mm10) and quantified 109	108 annotated features. DESeq2 R package was used to normalize the counts and perform the differential expression. Differential analysis output was filtered by FDR threshold (padj &lt; 0.1). This approach led us to identify 119 annotated features (including 96 miRNAs) that were differentially regulated in the mouse hippocampus upon Dicer ablation. Conclusions: We extend here the characterization of inducible forebrain-restricted Dicer1 mutants confirming the initial memory improvement. Moreover we describe several novel phenotypes associated with early Dicer loss in the mature brain including an exacerbated response to seizures increased CA1 neuron excitability a pronounced weight gain and enhanced induction of immediate early genes (IEGs) in relevant neuronal nuclei. To identify candidate genes that could explain these phenotypes we conducted two complementary genomic screens for the miRNAs primarily affected and their targets. Overall our results explain both the initial and late consequences of Dicer loss in excitatory neurons and indicate that Dicer and the miRNA system play a critical role regulating neuronal homeostasis and responsiveness.																																																																																				",NULL,NULL,NULL,NULL,NULL
3761,"GSE60261","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60261","Quantitative Analysis of Wild Type and Dicer1-ifKO Hippocampal Transcriptomes (mRNA and small RNA) Through Next Generation Sequencing (mRNA-Seq).","Mus musculus","2/4/15","6","RNA-Seq","  Methods: CaMKIIa-creERT2 (Erdmann et al. 2007) and Dicer1f/f (Harfe et al. 2005) were crossed to produce inducible forebrain-restricted Dicer1 knockout mice (Dicer-ifKO) mice. Hippocampal mRNA profiles of 3-month-old wild-type (WT) and (Dicer-ifKO) mice were generated by deep sequencing in triplicate using Illumina HiSeq 2500. Each sample included total RNA isolated from the hippocampus of 3 mice. In total 12 mice per genotype were used. The sequence reads that passed quality filters were mapped to reference genome (GRCm38/mm10) using Bowtie 2 (2.0.5) and TopHat (2.0.6). SAM/BAM files were further processed with Samtools (0.1.18). Read count quantitations were obtained using Seqmonk (0.26.0). Normalization of read counts and differential expression analysis between genotypes was carried out using DESeq2 R package from Bioconductor (Release 2.13). qRT\\x89\\xdb\\xd2PCR validation was performed using SYBR Green assays. Results: We mapped about 13-14 million sequence reads per sample to the mouse genome (build GRCm38/mm10) and quantified 76	938 annotated transcripts. DESeq2 R package was used to normalize the counts and perform the differential expression. Differential analysis output was filtered by FDR threshold (padj &lt; 0.1). This approach led us to identify 641 gene isoforms corresponding to 314 genes that were differentially regulated in the mouse hippocampus upon Dicer ablation. Conclusions: We extend here the characterization of inducible forebrain-restricted Dicer1 mutants confirming the initial memory improvement. Moreover we describe several novel phenotypes associated with early Dicer loss in the mature brain including an exacerbated response to seizures increased CA1 neuron excitability a pronounced weight gain and enhanced induction of immediate early genes (IEGs) in relevant neuronal nuclei. To identify candidate genes that could explain these phenotypes we conducted two complementary genomic screens for the miRNAs primarily affected and their targets. Overall our results explain both the initial and late consequences of Dicer loss in excitatory neurons and indicate that Dicer and the miRNA system play a critical role regulating neuronal homeostasis and responsiveness.																																																																																											",NULL,NULL,NULL,NULL,NULL
3784,"GSE62659","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62659","A KAP1 phosphorylation switch controls MyoD function during skeletal muscle differentiation (RNA-seq)","Mus musculus","2/2/15","6","RNA-Seq","  The transcriptional activator MyoD serves as a master controller of myogenesis. Often in partnership with Mef2 MyoD binds to the promoters of hundreds of muscle genes in proliferating myoblasts yet activates these targets only upon receiving cues that launch differentiation. What regulates this off/on switch of MyoD function has been incompletely understood although known to reflect the action of chromatin modifiers. Here we identify KAP1/TRIM28 as a key regulator of MyoD function. In myoblasts KAP1 is present with MyoD and Mef2 at many muscle genes where it acts as a scaffold to recruit not only co-activators such as p300 and LSD1 but also co-repressors such as G9a and HDAC1 with promoter silencing as net outcome. Upon differentiation MSK1-mediated phosphorylation of KAP1 releases the co-repressors from the scaffold unleashing transcriptional activation by MyoD/Mef2 and their positive cofactors. Thus our results reveal KAP1 as a previously unappreciated interpreter of cell signaling which modulates the ability of MyoD to drive myogenesis.																																																																																											",NULL,NULL,NULL,NULL,NULL
3785,"GSE63813","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63813","RNA sequencing of allelic series of miR-17~92 mutant embryos.","Mus musculus","2/2/15","71","RNA-Seq","  We report the generation of an allelic series of miR-17~92 mutant mice each carrying the targeted deletion of specific miRNA families encoded by the cluster. We integrate the phenotypic characterization of these strains with RNA-seq analysis showing the consequences of selective miRNA inactivation on gene expression in the developing embryo.																																																																																																						",NULL,NULL,NULL,NULL,NULL
3805,"GSE61851","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61851","RNA-seq analysis of withdrawal of miR-155 hyperexpression in miR-155-addicted tumors","Mus musculus","1/30/15","6","RNA-Seq","  Overexpression of miR-155 in hematological tissue leads to the onset of lymphoma and Tet-off shutdown of this overexpression reverses the disease phenotype in mir-155LSLtTA mice. This study compares the gene expression profiles of tumors with miR-155 overexpression and withdrawal.																																																																																																						",NULL,NULL,NULL,NULL,NULL
3835,"GSE54412","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54412","Investigation of the role of histone modification propagating activity of GLP","Mus musculus","1/20/15","40","RNA-Seq;ChIP-Seq","  We use ChIP-Seq and RNA-Seq technology to profile the H3K9me2 modification and transcription under different conditions of GLP activity. GLP and G9a are major H3K9 dimethylases and are essential for mouse early embryonic development. Here we report that GLP and G9a possess intrinsic histone methylation propagating activities. The histone methyltransferase activities of GLP and G9a are stimulated by neighboring nucleosomes pre-methylated at H3K9. These stimulation events function in cis and are dependent on H3K9 methylation binding activities of ankyrin repeats domains in GLP and G9a. In mouse embryonic stem cells (ESCs) harboring a mutant GLP lacking H3K9 methylation propagating activity pluripotent genes display a delayed kinetics in establishing H3K9 methylation and gene silencing during differentiation. Disruption of the H3K9 methylation propagating activity of GLP in mice causes growth retardation of the embryos ossification defects of calvaria and early postnatal lethality. We propose that GLP\\xe5\\xc1\\xe5\\xf8s ability to rapidly propagate H3K9 methylation is required for efficient gene silencing during programmed cell fate transition.																																																																																																				",NULL,NULL,NULL,NULL,NULL
3931,"GSE64608","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64608","RNA-Seq of murine GIST-like tumors after Etv1 ablation","Mus musculus","1/1/15","8","RNA-Seq","  We used a mouse expressing three alleles 1) KitV558Delta/+ activating allele that develop GIST-like tumors in the cecum 2) Etv1 flox/flox conditional knockout allele and 3) Rosa26-CreERT2 tamoxifen activated Cre allele. Mice were treated with either Tamoxifen (to delete Etv1) or corn oil (control). Cecal tumors were isolated for gene expression profiling by RNA-Seq.																																																																																																						",NULL,NULL,NULL,NULL,NULL
4003,"GSE53913","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53913","RNF17 referees ping-pong in mouse testes [RNAseq]","Mus musculus","12/17/14","8","RNA-Seq","  In mammals piRNA populations are dynamic throughout male germ cell development. Embryonic piRNAs consist of both primary and secondary species and are mainly directed toward transposons. In meiotic cells however the piRNA population is transposon-poor and restricted to primary piRNAs derived from pachytene piRNA clusters. The mechanism controlling which piRNAs are present at each developmental stage is poorly understood. Here we show that RNF17 shapes adult meiotic piRNA content by suppressing the production of secondary piRNAs. In the absence of RNF17 ping-pong (secondary amplification) occurs inappropriately in meiotic cells \\x89\\xdb\\xd2 aberrantly targeting protein-coding genes and lncRNAs. Our data indicate that RNF17 comprises one component of a \\x89\\xdb\\xcfrefereeing\\x89\\xdb\\x9d mechanism that prevents deleterious activity of the meiotic piRNA pathway by ensuring the selective loading of PIWI proteins with products of meiotic piRNA clusters.																																																																																																			",NULL,NULL,NULL,NULL,NULL
4020,"GSE62704","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62704","A negative feedback loop of transcription factors specifies alternative dendritic cell chromatin states (RNA-Seq)","Mus musculus","12/14/14","48","RNA-Seq","  During hematopoiesis cells originating from the same stem cell reservoir differentiate into distinct cell types. The mechanisms enabling common progenitors to differentiate into distinct cell fates are not fully understood. Here we identify chromatin-regulating and cell-fate-determining transcription factors (TF) governing dendritic cell (DC) development by annotating the enhancer and promoter landscapes of the DC lineage. Combining these analyses with detailed over-expression knockdown and ChIP-Seq studies we show that Irf8 functions as a plasmacytoid DC epigenetic and fate-determining TF regulating massive cell-specific chromatin changes in thousands of pDC enhancers. Importantly Irf8 forms a negative feedback loop with Cebpb a monocyte-derived DC epigenetic fate-determining TF. We show that using this circuit logic differential activity of TF can stably define epigenetic and transcriptional states regardless of the microenvironment. More broadly our study proposes a general paradigm that allows closely related cells with a similar set of signal-dependent factors to generate differential and persistent enhancer landscapes.																																																																																												",NULL,NULL,NULL,NULL,NULL
4069,"GSE62698","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62698","Spinal cord injury (RNA sequencing data)","Mus musculus","12/3/14","44","RNA-Seq","  We investigated the gene expression profile of monocyte-derived macrophages and microglia following spinal cord injury. Moreover we investigated the gene expression profole of M-CSF induced macrophages and new-born derived microglia following TGFb1 treatment.																																																																																																						",NULL,NULL,NULL,NULL,NULL
4133,"GSE62149","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62149","Epigenetic memory of the first cell fate decision prevents complete ES cell reprogramming into trophoblast [RNA-Seq]","Mus musculus","11/24/14","8","RNA-Seq","  Reprogramming of ES cells towards the trophoblast lineage and specifally into self-renewing TS cells can seemingly be achieved by manipulation of transcription factors such as Cdx2 and Oct4 or modulation of signalling cascades notably Ras signalling. Here we analyze the arising cells from such treatment in detail for the efficiency and completeness of the reprogramming process. We find that the reprogrammed cells retain an epigenetic and transcriptional memory of their ES cell origin and are not equal to bona fide trophectoderm-derived TS cells.																																																																																																			",NULL,NULL,NULL,NULL,NULL
4165,"GSE60827","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60827","RNA-Seq analysis comparing p53-null versus \\xeb\\xd3Np63\\xeb\\xd3/\\xeb\\xd3;p53-null or \\xeb\\xd3Np73\\xeb\\xd3/\\xeb\\xd3;p53-null thymic lymphoma tumors","Mus musculus","11/19/14","8","RNA-Seq","  We performed an RNA-Seq analysis comparing thymic lymphoma tissues from the p53-null(n=2) and \\xeb\\xd3Np63\\xeb\\xd3/\\xeb\\xd3;p53-/- (n=3) or \\xeb\\xd3Np73\\xeb\\xd3/\\xeb\\xd3;p53-/-(n=3). Mice at 10 weeks of age were injected with either Ad-mCherry or Ad-CRE-mCherry to delete \\xeb\\xd3Np63/\\xeb\\xd3Np73 in the thymic lmyphomas. We aimed to test by deleting the DNp63/DNp73 in these p53-deficient tumors will mediate tumor regression and analyze the expression profile of the genes																																																																																																							",NULL,NULL,NULL,NULL,NULL
4172,"GSE53506","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53506","PRC2 coordinates lineage fidelity and DNA methylation during ESC differentiation (RNA-Seq)","Mus musculus","11/17/14","8","RNA-Seq","  Polycomb Repressive Complex 2 (PRC2) catalyzes histone H3 lysine 27 tri-methylation an epigenetic modification associated with gene repression. H3K27me3 is enriched at the promoters of a large cohort of developmental genes in embryonic stem cells (ESCs). Loss of H3K27me3 leads to a failure of ESCs to properly differentiate which presents a major roadblock for dissecting the precise roles of PRC2 activity during lineage commitment. While recent studies suggest that loss of H3K27me3 leads to changes in DNA methylation in ESCs how these two pathways coordinate to regulate gene expression programs during lineage commitment is poorly understood. Here we analyzed gene expression and DNA methylation levels in several PRC2 mutant ESC lines that maintain varying levels of H3K27me3. We found that maintenance of intermediate levels of H3K27me3 allowed for proper temporal activation of lineage genes during directed differentiation of ESCs to spinal motor neurons (SMNs). However genes that function to specify other lineages failed to be repressed suggesting that PRC2 activity is necessary for lineage fidelity. We also found that H3K27me3 is antagonistic to DNA methylation in cis. Furthermore loss of H3K27me3 leads to a gain in promoter DNA methylation in developmental genes in ESCs and in lineage genes during differentiation. Thus our data suggest a role for PRC2 in coordinating dynamic gene repression while protecting against inappropriate promoter DNA methylation during differentiation.																																																																																															",NULL,NULL,NULL,NULL,NULL
4207,"GSE61295","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61295","b-Catenin Mediates the Development of Behavioral Resilience [smallRNA-Seq]","Mus musculus","11/13/14","48","RNA-Seq","  Here we show that \\xeb_-catenin mediates pro-resilient and anxiolytic effects in mice in the nucleus accumbens (NAc) a key brain reward region an effect that is mediated by \\xeb_-catenin signaling in D2-type medium spiny neurons (MSNs) specifically. Conversely blocking \\xeb_-catenin function in NAc promotes susceptibility to chronic stress and we show evidence of robust suppression of \\xeb_-catenin transcriptional activity in the NAc both of depressed humans examined postmortem as well as of mice that display a susceptible phenotype after chronic stress with a converse upregulation in mice that are stress resilient. Using ChIP-seq we demonstrate a global genome-wide enrichment of \\xeb_-catenin in the NAc of resilient mice and specifically identify Dicer1\\x89\\xdb\\xd3important in small RNA (e.g. microRNA [miRNA]) biogenesis\\x89\\xdb\\xd3as a critical \\xeb_-catenin target gene involved in mediating a resilient phenotype. Small RNA-seq after excising \\xeb_-catenin from the NAc in the context of chronic stress reveals dynamic \\xeb_-catenin-dependent miRNA regulation associated with resilience.																																																																																														",NULL,NULL,NULL,NULL,NULL
4260,"GSE50927","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50927","RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury","Mus musculus","11/4/14","5","RNA-Seq","  WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice injury was similar to WT while in others injury was higher as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice.																																																																																																			",NULL,NULL,NULL,NULL,NULL
4269,"GSE58283","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58283","Gene expression profiling of mouse bone marrow-derived macrophages (RNA-Seq)","Mus musculus","11/1/14","8","RNA-Seq","  Bone marrow (BM) cells were obtained by flushing the long bones of 8-week old C57BL/6 mice. BM cells were then were plated in macrophage SFM medium (Life Technologies) supplemented with penicillin-streptomycin and CSF-1 (Peprotech 100 ng/ml) and cultured for one week to allow macrophage differentiation. BMDMs were polarized by adding IL-4 to the medium (40 ng/ml Peprotech) for 72h or left untreated.																																																																																																					",NULL,NULL,NULL,NULL,NULL
