id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category"
4917,"GSE45983","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45983","Characterization and parental contribution of piRNAs and endo-siRNAs to mouse zygotes.","Homo sapiens","2014-05-20","3","rna_seq"
4918,"GSE47095","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47095","A Large-Scale RNAi-Based Mouse Tumorigenesis Screen Identifies New Lung Cancer Tumor Suppressors that Repress FGFR Signaling","Homo sapiens; Mus mu","2014-05-20","2","rna_seq"
4919,"GSE49320","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49320","Genome-wide map of GATA6 DNA binding in human CRC cells","Homo sapiens","2014-05-20","7",""
4920,"GSE38629","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38629","H3K27me3 in four squamous cell carcinoma cell lines","Mus musculus","2014-05-20","8",""
4921,"GSE44800","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44800","A Probabilistic Model of Transcription Dynamics applied to Estrogen Signalling in Breast Cancer Cells","Homo sapiens","2014-05-19","8",""
4922,"GSE57097","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57097","Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [sperm; Bisulfite-Seq]","Homo sapiens","2014-05-19","17",""
4923,"GSE57096","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57096","Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [sperm; RNA-seq]","Homo sapiens","2014-05-19","4","rna_seq "
4924,"GSE57095","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57095","Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [sperm; ChIP-seq]","Homo sapiens","2014-05-19","5",""
4925,"GSE57313","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57313","MicroRNAs Shape Circadian Hepatic Gene Expression on a Transcriptome-Wide Scale","Homo sapiens","2014-05-19","24","rna_seq"
4926,"GSE49623","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49623","Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [Bisulfite-Seq]","Homo sapiens","2014-05-19","23",""
4927,"GSE49622","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49622","Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [RNA-seq]","Homo sapiens","2014-05-19","13","rna_seq "
4928,"GSE49621","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49621","Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [ChIP-seq]","Mus musculus","2014-05-19","20",""
4929,"GSE55391","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55391","TET1-mediated hydroxymethylation facilitates hypoxic gene induction in neuroblastoma","Mus musculus","2014-05-19","5",""
4930,"GSE55887","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55887","Genome-wide analysis reveals characteristics of off-target sites bound by the Cas9 endonuclease","Mus musculus","2014-05-18","12",""
4931,"GSE57763","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57763","Next-Generation Sequencing of Small RNAs from HIV-Infected Cells Identifies Phased microRNA Expression Patterns and Candidate Novel microRNAs Differentially Expressed upon Infection","Mus musculus","2014-05-17","26","rna_seq "
4932,"GSE49137","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49137","INO80 complex in the core regulatory network governing ESC self-renewal [ChIP-Seq]","Homo sapiens","2014-05-16","12",""
4933,"GSE53964","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53964","Global analysis of p53-regulated transcription reveals its direct targets and unexpected regulatory mechanisms (GRO-Seq)","Homo sapiens","2014-05-15","6",""
4934,"GSE57685","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57685","Modeling Fanconi Anemia pathogenesis and therapeutics using integration-free patient iPSCs","Homo sapiens","2014-05-15","3",""
4935,"GSE57666","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57666","Splicing of polyA transcripts in Hep3B cells","Mus musculus","2014-05-15","1",""
4936,"GSE42420","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42420","CFIm25 links alternative polyadenylation to glioblastoma tumour suppression","Homo sapiens","2014-05-15","4","rna_seq"
4937,"GSE48035","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48035","The ABRF Next-Generation Sequencing Study (ABRF-NGS): Multi-platform and cross-methodological reproducibility of transcriptome profiling by RNA-seq [Illumina HiSeq 2500]","Homo sapiens","2014-05-14","62","Multi-platform and c"
4938,"GSE48034","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48034","The ABRF Next-Generation Sequencing Study (ABRF-NGS): Multi-platform and cross-methodological reproducibility of transcriptome profiling by RNA-seq [Ion Torrent Proton]","Homo sapiens","2014-05-14","10","Multi-platform and c"
4939,"GSE48033","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48033","The ABRF Next-Generation Sequencing Study (ABRF-NGS): Multi-platform and cross-methodological reproducibility of transcriptome profiling by RNA-seq [Ion Torrent PGM]","Homo sapiens","2014-05-14","21","Multi-platform and c"
4940,"GSE48032","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48032","The ABRF Next-Generation Sequencing Study (ABRF-NGS): Multi-platform and cross-methodological reproducibility of transcriptome profiling by RNA-seq [454 GS FLX Titanium]","Homo sapiens","2014-05-14","12","Multi-platform and c"
4941,"GSE47117","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47117","3' RNA-Seq (3'SEQ) analysis gene expression profiling at G1-S transition in human embryonic stem cells (hESCs) and hESC-derived endoderm cells","Homo sapiens","2014-05-14","6","rna_seq"
4942,"GSE45889","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45889","Specific mitotic chromatin association of the major notch effector RBPJ and its implication for transcriptional memory","Homo sapiens; synthe","2014-05-14","6",""
4943,"GSE51264","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51264","Conserved expression of lincRNA during human and macaque prefrontal cortex development and maturation","Homo sapiens","2014-05-14","78","rna_seq"
4944,"GSE57423","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57423","Expression data from embryonic day 15.5 atrioventricular canal regions were isolated from Scx-/- and Scx+/+ mice.","Homo sapiens","2014-05-14","6",""
4945,"GSE51065","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51065","Proteomic and Genomic Analysis of transcription factor TFII-I reveals insight into the response to cellular stress","Mus musculus","2014-05-14","3",""
4946,"GSE56055","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56055","Parallel T-cell cloning and deep sequencing of the transcripts of human MAIT cells reveal stable oligoclonal TCR_ repertoire","Macaca mulatta; Homo","2014-05-13","19",""
4947,"GSE56575","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56575","Rapid proliferation and differentiation impairs the development of memory CD8+ T cells in early life","Mus musculus","2014-05-13","4",""
4948,"GSE47058","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47058","Differential gene expression by suppression of either SOX2 or TP63 in KYSE70 human esophageal squamous carcinoma cell line.","Homo sapiens","2014-05-13","6",""
4949,"GSE57567","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57567","Identification of Novel Post-Transcriptional Features in Olfactory Receptor Family mRNAs","Homo sapiens","2014-05-13","2","rna_seq"
4950,"GSE56697","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56697","Programming and inheritance of parental DNA methylomes in mammals","Mus musculus","2014-05-12","12",""
4951,"GSE48229","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48229","The dynamics of DNA methylation fidelity during mouse embryonic stem cell renewal and differentiation","Homo sapiens","2014-05-12","4",""
4952,"GSE49449","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49449","RNA-seq analysis of IL-10 treatment of wildtype and Ptpn1-/- knockout peritoneal macrophages","Mus musculus","2014-05-12","8","rna_seq"
4953,"GSE54226","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54226","SRSF10 regulates alternative splicing and is required for adipocyte differentiation.","Mus musculus","2014-05-12","2","rna_seq"
4954,"GSE48327","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48327","Global assessment of Antrodia cinnamomea induced microRNA and mRNA transcriptomic alterations in hepatocarcinoma cells","Mus musculus","2014-05-10","16","rna_seq"
4955,"GSE57482","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57482","Increased expression of BubR1 protects against aneuploidy in aging oocytes and extends reproductive lifespan","Mus musculus","2014-05-10","2",""
4956,"GSE57116","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57116","4sUDRB-seq: measuring transcription elongation and initiation genomewide","Mus musculus","2014-05-09","14","measuring transcript"
4957,"GSE57471","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57471","Methylation QTLs are associated with coordinated changes in transcription factor binding, histone modifications, and gene expression levels [Bisulfite-Seq]","Homo sapiens; Mus mu","2014-05-09","10",""
4958,"GSE57435","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57435","Next Generation Sequencing of RNAs immunoprecipitated with Cyt c under hyperosmotic stress","Mus musculus","2014-05-09","6","rna_seq"
4959,"GSE56774","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56774","Widespread contribution of transposable elements to the innovation of gene regulatory networks [human ENCODE]","Homo sapiens","2014-05-09","4",""
4960,"GSE57230","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57230","Widespread contribution of transposable elements to the innovation of gene regulatory networks [mouse ENCODE]","Homo sapiens","2014-05-09","4",""
4961,"GSE50762","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50762","Co-regulation of transcription factor binding and nucleosome occupancy through DNA features of mammalian enhancers","Mus musculus","2014-05-08","15",""
4962,"GSE47718","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47718","Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2","Homo sapiens","2014-05-08","17",""
4963,"GSE57415","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57415","Molecular architecture of transcription factor hotspots in early adipogenesis","Mus musculus","2014-05-08","10",""
4964,"GSE50057","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50057","Small RNA deep sequencing of cellular subcompartments","Mus musculus","2014-05-07","4","rna_seq"
4965,"GSE56938","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56938","Nucleosome repositioning links DNA (de)methylation and differential CTCF binding during stem cell development","Homo sapiens","2014-05-07","8",""
4966,"GSE54291","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54291","Differential requirement for Nfil3 during NK cell development","Mus musculus","2014-05-07","4",""
4967,"GSE52313","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52313","Long RNA Seq on Sham vs MI Adult Mouse Heart","Homo sapiens","2014-05-06","8","rna_seq"
4968,"GSE46664","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46664","Digital Gene Expression Tag Profiling after Wt1 deletion in Sertoli cell","Mus musculus","2014-05-06","2",""
4969,"GSE44442","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44442","Genomic binding profile of TAL1 in human Endothelial Colony-Forming Cells","Mus musculus","2014-05-06","2",""
4970,"GSE53423","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53423","Comparative analysis of TAL1 binding in TSA-treated versus non-treated Endothelial Colony Forming Cells (ECFCs)","Mus musculus","2014-05-06","4",""
4971,"GSE52405","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52405","RNA-Seq based characterization of long non-coding RNA involved in respiratory viruses pathogenesis","Mus musculus","2014-05-05","123","rna_seq"
4972,"GSE54602","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54602","Developmental transcriptome analysis of human erythropoiesis","Homo sapiens","2014-05-05","8",""
4973,"GSE48660","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48660","An improved SELEX-Seq strategy for characterizing DNA-binding specificity of transcription factor: NF-_B as an example","Homo sapiens","2014-05-05","5","NF-_B as an example"
4974,"GSE47462","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47462","A shared transcriptional program in early breast neoplasias despite genetic and clinical distinctions","Mus musculus","2014-05-04","72",""
4975,"GSE56394","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56394","Dual and separable roles for Ezh2 in neurogenic astroglia","Homo sapiens","2014-05-02","6",""
4976,"GSE56745","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56745","Antidiabetic Rosiglitazone Remodels the Adipocyte Transcriptome by Redistributing Transcription to PPARg-Driven Enhancers [HTS]","Homo sapiens","2014-05-02","26",""
4977,"GSE52899","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52899","Genome-wide maps of Usp16, ubH2A and gene expression profiles in wild type and Usp16 knock out mouse embryonic stem cells (ESCs) and embryoid bodies (EBs)","Homo sapiens","2014-05-02","18",""
4978,"GSE54401","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54401","Genomic expression analysis of human monocyte-derived DCs and monocytes","Mus musculus","2014-05-02","2",""
4979,"GSE57153","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57153","Glycogen synthase kinase (GSK) 3_ phosphorylates and protects nuclear myosin 1c from proteasome-mediated degradation to activate rDNA transcription in early G1 cells","Mus musculus","2014-05-02","1",""
4980,"GSE56900","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56900","RUNX3 Facilitates Growth of Ewing Sarcoma Cells","Mus musculus","2014-05-01","2",""
4981,"GSE47835","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47835","Microfluidic single-cell whole-transcriptome sequencing","Homo sapiens","2014-05-01","102",""
4982,"GSE26811","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26811","Transcriptomics of a novel trophoblast differentiation protocol applied to human embryonic stem cells","Mus musculus","2014-05-01","5",""
4983,"GSE51878","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51878","Identification and Initial Functional Characterization of SENCR, a Long Non-Coding RNA Enriched in Human Vascular Cells","Homo sapiens","2014-05-01","9","rna_seq"
4984,"GSE50977","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50977","Allele specific timing of replication","Mus musculus","2014-05-01","10",""
4985,"GSE50976","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50976","Nascent strand with BrdU or lambda exonuclease","Homo sapiens","2014-05-01","6",""
4986,"GSE43650","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43650","Cell cycle dependence of neuroprogenitor fate determination regulated by Trrap-mediated histone acetylation","Homo sapiens","2014-05-01","2",""
4987,"GSE46189","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46189","The spatio-temporal program of DNA replication is driven by specific epigenetic signatures in human cells","Homo sapiens","2014-05-01","5",""
4988,"GSE52801","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52801","Assessing the ceRNA hypothesis with quantitative measurements of miRNA and target abundance","Homo sapiens","2014-05-01","33","rna_seq"
4989,"GSE40104","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40104","High-throughput sequencing of Brf1 (Zfp36l1) and Brf2 (Zfp36l2) targets","Mus musculus","2014-04-30","6",""
4990,"GSE47765","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47765","Epigenetic changes underlying mouse hematopoietic stem cell aging","Homo sapiens","2014-04-30","16",""
4991,"GSE47815","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47815","Epigenetic and genetic changes during mouse hematopoietic stem cell aging [Bisulfite-Seq]","Mus musculus","2014-04-30","13",""
4992,"GSE47817","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47817","Epigenetic and genetic changes during mouse hematopoietic stem cell aging [RNA-Seq]","Mus musculus","2014-04-30","8","rna_seq "
4993,"GSE53502","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53502","YY1 ChIP-seq in mouse intestine","Mus musculus","2014-04-29","1",""
4994,"GSE46513","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46513","RNA-sequencing analysis of 5' capped RNAs identifies novel differentially expressed genes in sessile serrated colon polyps (SSPs)","Mus musculus","2014-04-29","15","rna_seq"
4995,"GSE49279","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49279","Micro-RNA sequencing from 78 adrenocortical carcinomas","Mus musculus","2014-04-29","78","rna_seq "
4996,"GSE54955","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54955","ChIP-seq: Temporal dynamics and developmental memory of 3D chromatin architecture at Hox gene loci","Mus musculus","2014-04-28","4","Temporal dynamics an"
4997,"GSE54952","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54952","RNA-seq: Temporal dynamics and developmental memory of 3D chromatin architecture at Hox gene loci","Homo sapiens","2014-04-28","2","Temporal dynamics an"
4998,"GSE47793","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47793","The DNA methylome of Epiblast Stem Cells and Embryonic Stem Cells is distinct and not fully reversible","Homo sapiens","2014-04-28","6",""
4999,"GSE55342","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55342","4C-seq: Temporal dynamics and developmental memory of 3D chromatin architecture at Hox gene loci","Mus musculus","2014-04-28","41","Temporal dynamics an"
5000,"GSE55296","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55296","RNA-seq analysis of human heart failure","Mus musculus","2014-04-28","36","rna_seq"
5001,"GSE52043","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52043","Tissue-Resident Natural Killer (NK) Cells Are Cell Lineages Distinct From Thymic and Conventional Splenic NK Cells (part 1)","Mus musculus","2014-04-26","9",""
5002,"GSE52045","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52045","Tissue-Resident Natural Killer (NK) Cells Are Cell Lineages Distinct From Thymic and Conventional Splenic NK Cells (part 2)","Mus musculus","2014-04-26","6",""
5003,"GSE38265","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38265","mRNA expression in iPS cells generated by a synthetic self-replicative RNA","Homo sapiens","2014-04-25","6","rna_seq"
5004,"GSE49848","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49848","Genome-wide mapping of Klf4 and Klf5 in pluripotent mouse embryonic stem cells (ESCs)","Mus musculus","2014-04-25","5",""
5005,"GSE54333","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54333","EDD: a program for detection of wide genomic enrichment domains robust against local variations [RNA-Seq]","Mus musculus","2014-04-25","2","a program for detect"
5006,"GSE54332","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54332","EDD: a program for detection of wide genomic enrichment domains robust against local variations [ChIP-Seq]","Homo sapiens","2014-04-25","5","a program for detect"
5007,"GSE57043","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57043","Dicer knockout NSCLC RNAseq and miRseq","Mus musculus","2014-04-25","6","rna_seq "
5008,"GSE55062","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55062","Therapeutic Targeting of BET Bromodomain Proteins in Castration-Resistant Prostate Cancer (ChIP-Seq)","Homo sapiens","2014-04-25","35",""
5009,"GSE45888","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45888","Definition of the fibroblast SRF-mediated immediate-early transcriptional response","Homo sapiens","2014-04-24","69",""
5010,"GSE57027","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57027","Controlling for gene expression changes in transcription factor protein networks.","Mus musculus","2014-04-24","9",""
5011,"GSE57024","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57024","DNA methylation dynamics studies with MethylRO mouse","Homo sapiens","2014-04-24","3",""
5012,"GSE41920","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41920","The RUNX2 Cistrome in Osteoblasts: Characterization, Downregulation Following Differentiation and Relationship to Gene Expression [ChIP-Seq]","Mus musculus","2014-04-24","16"," Characterization, D"
5013,"GSE48085","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48085","Genome-scale analysis in blood progenitor and mast cells reveals how lineage-affiliated transcription factors control distinct regulatory programs [ChIP-Seq/RNA-Seq Experiments]","Homo sapiens","2014-04-24","20","rna_seq"
5014,"GSE56930","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56930","Human intestinal tissue with adult stem cell properties derived from pluripotent stem cells","Mus musculus","2014-04-24","24",""
5015,"GSE53683","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53683","A mechanistic rationale for targeting the unfolded protein response in pre-B acute lymphoblastic leukemia [HTS]","Mus musculus","2014-04-24","6",""
5016,"GSE51933","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51933","Small RNA-sequencing of Fibro-Adipogenic Progenitors (FAPs) upon Histone Deacetylase inhibition in young mdx mice","Mus musculus","2014-04-23","4","rna_seq"
5017,"GSE56966","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56966","Gene expression profiles of antigen-specific CD4+ T cells from mice carrying T cell-specific deletions of MyD88 or IL6Ra","Homo sapiens","2014-04-22","3",""
5018,"GSE56361","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56361","Toxic effects of BDE209 in human embryonic kidney 293 cells (HEK 293)","Mus musculus","2014-04-21","3",""
5019,"GSE54695","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54695","Validation of noise models for single-cell transcriptomics","Mus musculus","2014-04-20","16",""
5020,"GSE54745","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54745","Genome-wide binding of the CRISPR endonuclease Cas9 in mammalian cells","Mus musculus","2014-04-20","18",""
5021,"GSE42735","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42735","Genome-wide transcriptome profiling of SK-Mel-28, UACC-62 and HCT-116 cells stably expressing scrambled shRNA and RAB7 shRNA","Homo sapiens","2014-04-20","18","rna_seq "
5022,"GSE48534","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48534","Triplication of a 21q22 region contributes to B cell transformation through HMGN1 overexpression and loss of histone H3 Lys27 trimethylation [ChIP-seq]","Mus musculus","2014-04-20","8",""
5023,"GSE48553","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48553","Triplication of a 21q22 region contributes to B cell transformation through HMGN1 overexpression and loss of histone H3 Lys27 trimethylation [RNA-Seq]","Homo sapiens; Mus mu","2014-04-20","6","rna_seq"
5024,"GSE56891","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56891","Next Generation Sequencing of Wild-Type FVB/NJ Mouse Cardiac Small RNA, after 1 week pressure overload","Homo sapiens","2014-04-18","10","rna_seq"
5025,"GSE56890","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56890","Next Generation Sequencing of Wild-Type FVB/NJ Mouse Cardiac Polyadenylated RNA After 1 Week Pressure Overload","Mus musculus","2014-04-18","10","rna_seq"
5026,"GSE56240","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56240","Chemical Inhibition of the ROR_t-dependent Transcriptional Network in Th17 cells [RNA-Seq 2]","Mus musculus","2014-04-17","12","rna_seq"
5027,"GSE52257","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52257","Whole transcriptome analysis of sinonasal sarcoma with translocation t(2;4)(q37.1;q31.3)","Mus musculus","2014-04-17","1",""
5028,"GSE55049","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55049","Loss of Tet enzymes compromises proper differentiation of embryonic stem cells","Mus musculus","2014-04-17","5",""
5029,"GSE56019","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56019","Chemical Inhibition of the ROR_t-dependent Transcriptional Network in Th17 cells [ChIP-Seq]","Mus musculus","2014-04-17","12",""
5030,"GSE56018","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56018","Chemical Inhibition of the ROR_t-dependent Transcriptional Network in Th17 cells [RNA-Seq]","Homo sapiens","2014-04-17","7","rna_seq"
5031,"GSE56872","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56872","Transcription factor cooperativity in early adipogenic hotspots and super-enhancers","Mus musculus","2014-04-17","32",""
5032,"GSE56836","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56836","Derivation and characterization of Dicer and microRNA deficient human cells","Mus musculus","2014-04-17","14","rna_seq"
5033,"GSE49832","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49832","Hes6 drives a critical AR transcriptional program to induce castration resistant prostate cancer through activation of an E2F1-mediated cell cycle network","Mus musculus","2014-04-17","38",""
5034,"GSE49906","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49906","Transcriptome modulation of ventricles, cardiomyocytes and cardiac fibroblasts during postnatal mouse development","Mus musculus","2014-04-16","13",""
5035,"GSE37151","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37151","Expanding the Catalog of Enhancer Marks In Vivo","Homo sapiens","2014-04-16","34",""
5036,"GSE52501","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52501","The nucleosomal barrier to promoter escape by RNA Polymerase II is overcome by the chromatin remodeler Chd1 [HiSeq]","Homo sapiens","2014-04-15","10","rna_seq"
5037,"GSE56686","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56686","Quantitation of microRNAs in seminal fluid from men with and without prostate cancer","Mus musculus","2014-04-15","2","rna_seq"
5038,"GSE56785","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56785","RNA-Seq characterization of human H1-derived NPC differentiation timecourse","Mus musculus","2014-04-15","20","rna_seq"
5039,"GSE56016","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56016","Recurrent activating mutation in PRKACA in cortisol-producing adrenal tumors","Mus musculus","2014-04-15","1",""
5040,"GSE52367","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52367","mRNA expression in C-33A cells expressing HPV1 E2","Homo sapiens","2014-04-14","2","rna_seq"
5041,"GSE55215","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55215","Genomewide analysis of QKI-dependent alternative splicing","Homo sapiens","2014-04-14","4","rna_seq"
